imdb_id,imdb_rating,average rating calculated after normalisation
tt10017956,7.1,1.421972
tt10324144,8.3,3.300896874
tt10360496,5.1,2.024416615
tt10816510,7.8,4.631095294
tt11007050,5.7,2.202416553
tt11046300,8.1,1.541892913
tt2395469,8.2,3.320674439
tt4355838,4.8,0.961333403
tt4971258,4.3,2.528638998
tt5013008,4.2,1.640666662
tt5668770,7.3,4.295123115
tt6264938,7.4,4.393309655
tt6836936,5.5,2.134523941
tt6862542,7.4,4.369523924
tt6903440,6.5,3.842222287
tt6978954,4.6,2.716190365
tt6986710,6.1,2.421360932
tt6988116,3.6,1.426714254
tt7059844,8,1.553333383
tt7189494,6,1.201666589
tt7228072,7,4.143055596
tt7255568,2.5,1.504166663
tt7463730,5.3,2.066789751
tt7485048,8.2,3.254944269
tt7639372,4.3,2.495365206
tt7721946,3.3,1.929583291
tt7778680,6.9,2.734535748
tt7881524,4.1,1.576547574
tt8108196,6,3.507380936
tt8108200,7.5,4.438988136
tt8108206,8.9,3.532805377
tt8108208,6,2.386190448
tt8108268,8,4.765079446
tt8110330,8.4,3.328999965
tt8130558,6.8,3.981508069
tt8130968,7.9,4.733103159
tt8144834,8.4,3.34066663
tt8206760,4.8,0.913714328
tt8268972,3.7,1.490130988
tt8291224,8.4,4.985666567
tt8304386,4.1,2.405333248
tt8396186,2.8,1.127666662
tt8484942,4.4,1.707619077
tt8504014,6.8,3.989333457
tt8647400,6.6,2.550166658
tt8706884,6,2.366666642
tt8785426,4.2,2.456166676
tt8869978,7.3,4.295123115
tt8897986,9.4,3.7077776
tt8902990,6.6,3.937214215
tt8983180,6.3,2.461
tt8983202,7.2,2.853428452
tt9105014,6.8,2.694904829
tt9176260,7.1,2.798864858
tt9179426,4.6,1.814444328
tt9239772,5.1,0.989035864
tt9248940,7.5,2.897916643
tt9248972,6.5,2.596904864
tt9319812,5.6,1.121555558
tt9378950,8.7,3.503821329
tt9420648,8.2,1.560928453
tt9472208,4.1,0.816257867
tt9496212,5.3,1.088392816
tt9558612,3.3,1.309916616
tt9795264,6.7,1.299321351
tt1971310,3.2,1.877333403
tt2150177,4.1,2.397686418
tt2759338,3.8,1.474761829
tt2802062,4.2,1.62283333
tt3823392,7.4,1.482055566
tt4335954,5.5,1.066607298
tt4552546,7.1,1.421972062
tt4979110,5.1,2.010452338
tt5325684,3.3,1.952368997
tt5474036,6.9,1.352619158
tt5935704,7,4.16888891
tt5970844,4,1.55984128
tt6028796,7.3,1.462027806
tt6071752,4,1.545555542
tt6078866,7.2,1.441999926
tt6102396,6.2,2.38257133
tt6129302,7.6,2.99777766
tt6144958,5.1,1.992035673
tt6173990,7.3,4.415631051
tt6275262,5.6,2.213999972
tt6452574,7.8,3.096166686
tt6514196,6.6,3.904738032
tt6527426,5.5,3.226666618
tt6588966,7.5,2.929761869
tt6747420,5.7,3.367976013
tt6774212,5.2,2.018095171
tt6826438,7.7,4.571416584
tt6843812,5,1.940476171
tt6923462,7.4,2.93738897
tt7098658,7.8,4.589309597
tt7147540,6.8,2.656317527
tt7162758,5.2,3.087190374
tt7212726,6.3,3.68425
tt7260848,5.6,1.065999966
tt7262178,2.8,1.081888898
tt7274806,5.6,1.085999974
tt7363076,7.4,4.379801712
tt7384848,5.7,3.395118896
tt7412738,6.2,3.716555427
tt7431594,2,0.776190451
tt7526836,5.4,1.027928552
tt7527082,7.7,1.542138941
tt7581902,7.1,2.743360892
tt7607940,1.7,0.997333348
tt7609114,4.8,1.845714381
tt7617988,7.5,1.470237952
tt7618184,6.7,1.341861031
tt7638344,4.5,2.640000006
tt7695014,4.3,2.545019941
tt7700730,7.5,2.972321423
tt7720254,4.4,0.881222268
tt7720922,6.1,1.221694256
tt7722258,4.6,1.785237989
tt7723022,3.8,2.263412619
tt7725596,8,3.125079481
tt7853242,7.2,2.781999878
tt7881542,4.5,0.856607087
tt7881558,6.2,2.496976092
tt7919680,7.5,2.929761869
tt8011276,7.7,3.051583317
tt8055888,7.4,2.845476265
tt8060624,4.7,1.816027667
tt8108198,8.4,3.287333306
tt8108202,7.7,3.07358333
tt8136908,7.2,2.883714148
tt8175968,5.2,0.989857109
tt8202612,5.6,2.173333306
tt8207768,6.8,1.361888895
tt8223250,7.7,1.542138941
tt8239946,8.2,4.996142648
tt8324474,6.4,3.781587441
tt8338746,3.7,2.175805597
tt8396128,7.2,4.210571248
tt8426854,6.3,1.26175
tt8427036,5.5,1.101527938
tt8458202,6.7,2.641182388
tt8852558,6.9,1.313464403
tt9070934,6.3,1.26175
tt1806913,4.9,2.865138944
tt2302416,7.1,2.798864858
tt3209826,3.9,0.742392892
tt3224288,6.9,2.763559551
tt3338188,4.6,0.921277732
tt3405236,6.8,4.024682667
tt3611266,5.9,3.412869184
tt4129428,6.4,3.714031881
tt4287778,4.4,1.743761921
tt4307132,8.3,1.662305611
tt4493550,5.9,3.497389014
tt4552486,3.9,1.599928656
tt4640206,8.6,3.458770017
tt4909752,5.7,3.38403552
tt4910010,8.2,4.888761688
tt4977530,6.7,3.994476017
tt5046500,5.2,2.082682499
tt5456546,3.8,1.461190426
tt5460276,7.1,4.177448221
tt5463608,6.5,1.301805744
tt5472374,5.8,3.402666764
tt5474042,4.3,1.704131053
tt5502766,6.1,3.604083211
tt5525846,5.7,3.364356966
tt5542802,4.1,2.419976105
tt5543746,4.5,0.872678525
tt5544662,3.5,2.053333347
tt5613834,6.3,2.4225
tt5617172,5.7,2.308273685
tt5690142,7.3,4.318877071
tt5697870,6.2,3.714587174
tt5742874,4.9,2.900138934
tt5743888,2.5,0.990773772
tt5745450,5.7,3.367976013
tt5756052,5.6,1.121555558
tt5764024,5.1,2.021178544
tt5764096,7.8,3.046952408
tt5775220,4,1.56253967
tt5784860,3.7,2.21676988
tt5785116,5.5,3.265297553
tt5785170,7.2,2.812571299
tt5785200,2.7,1.597392857
tt5882970,4,1.597460306
tt5896934,2.9,0.563083328
tt5956100,6,3.503333342
tt5997666,5.3,3.109333417
tt6033536,5.2,2.060809488
tt6058394,6.5,1.301805744
tt6080746,8.3,4.927631032
tt6108090,7.9,3.199186515
tt6117702,3.4,2.037031728
tt6143422,8,1.602222268
tt6170954,6.3,2.445
tt6173826,5.4,1.027928552
tt6265988,5.3,2.09055561
tt6272828,5.6,2.163777745
tt6277440,6.2,3.637333216
tt6296236,6.7,2.588805405
tt6299040,7.6,4.462587159
tt6334874,4.5,0.856607087
tt6349528,5,1.001388867
tt6352548,5.5,1.046964438
tt6395306,7.6,1.522111038
tt6405126,5.3,3.135623112
tt6467380,6.8,2.614761964
tt6467738,6.2,3.692936376
tt6471054,7,1.401944442
tt6484982,7.7,1.542138941
tt6499258,5.4,1.081499993
tt6512784,4.2,2.469666669
tt6514010,7,4.116388924
tt6537508,5.5,1.046964438
tt6611040,7.3,1.389607184
tt6620324,6,3.560714267
tt6642396,6,1.142142747
tt6711660,6.9,4.04005955
tt6712014,6.5,1.237321622
tt6791730,7,2.734444484
tt6926486,6.3,3.706
tt6967980,7.5,2.897916643
tt6971752,6.9,2.666083373
tt6978268,7,4.117777813
tt6997642,6.9,2.763559551
tt7154994,7.4,1.435071458
tt7180544,8.1,4.858393136
tt7340684,6.2,1.294618932
tt7341406,6.4,2.5709208
tt7399470,7,2.704722273
tt7469726,7.6,4.533761781
tt7471004,6.8,1.419904794
tt7549484,4.5,1.757857137
tt7571718,8,1.602222268
tt7585620,7,1.372222252
tt7722484,3.9,0.764523826
tt1890363,6.8,2.661174667
tt2009592,5.7,2.212142716
tt2137241,5,2.024801607
tt2909396,2.9,1.705361142
tt2939912,6.7,3.952999819
tt3410408,6.8,2.639047702
tt3453964,6.2,1.241722136
tt3495026,7.1,4.177448221
tt3590416,5.6,1.085999974
tt3679060,5.1,2.959618939
tt3726012,2.3,0.437821497
tt3771536,6.2,3.647912567
