imdb_id,imdb_rating,title,original_title,is_adult,year_of_release,runtime,genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,imdb_votes
tt10017956,7.1,Gone Kesh,Gone Kesh,0,2019,110,Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,178
tt10324144,8.3,Article 15,Article 15,0,2019,130,Crime|Drama,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13417
tt10360496,5.1,Thackeray,Thackeray,0,2019,120,Biography|Drama,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2301
tt10816510,7.8,P Se Pyaar F Se Faraar,P Se Pyaar F Se Faraar,0,2019,131,Crime|Drama|Romance,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,777
tt11007050,5.7,#Yaaram,#Yaaram,0,2019,\N,Comedy|Romance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
tt11046300,8.1,Ujda Chaman,Ujda Chaman,0,2019,120,Comedy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440
tt2395469,8.2,Gully Boy,Gully Boy,0,2019,153,Drama|Music,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,22440
tt4355838,4.8,Albert Pinto Ko Gussa Kyun Aata Hai?,Albert Pinto Ko Gussa Kyun Aata Hai?,0,2019,100,Drama,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56
tt4971258,4.3,Bombairiya,Bombairiya,0,2019,104,Comedy|Crime|Drama,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,295
tt5013008,4.2,Fraud Saiyaan,Fraud Saiyyan,0,2019,109,Comedy|Drama,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,504
tt5668770,7.3,Mardaani 2,Mardaani 2,0,2019,103,Action|Drama|Thriller,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1000
tt6264938,7.4,Kesari,Kesari,0,2019,150,Action|Drama|History,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10653
tt6836936,5.5,Saaho,Saaho,0,2019,170,Action|Thriller,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12049
tt6862542,7.4,Hume Tumse Pyaar Kitna,Hume Tumse Pyaar Kitna,0,2019,91,Action|Drama|Romance,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,85
tt6903440,6.5,Manikarnika: The Queen of Jhansi,Manikarnika: The Queen of Jhansi,0,2019,148,Action|Biography|Drama,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7361
